CAT_L1;CAT_L2;CAT_3;CAT_L4
LGP;INSIDE;USUWALNE;FM BIA£Y LGP
LGP;INSIDE;USUWALNE;PLAMA UP
LGP;INSIDE;USUWALNE;PLAMA DOWN
LGP;INSIDE;USUWALNE;RYSA UP
LGP;INSIDE;USUWALNE;RYSA DOWN
LGP;INSIDE;NIEUSUWALNE;PLAMA UP
LGP;INSIDE;NIEUSUWALNE;PLAMA DOWN
LGP;INSIDE;NIEUSUWALNE;RYSA UP
LGP;INSIDE;NIEUSUWALNE;RYSA DOWN
LGP;INSIDE;NIEUSUWALNE;USZKODZONA KRAWEDè LGP
LGP;INSIDE;NIEUSUWALNE;INNE
LGP;OUTSIDE;USUWALNE;FM BIA£Y LGP
LGP;OUTSIDE;USUWALNE;PLAMA UP
LGP;OUTSIDE;USUWALNE;PLAMA DOWN
LGP;OUTSIDE;USUWALNE;RYSA UP
LGP;OUTSIDE;USUWALNE;RYSA DOWN
LGP;OUTSIDE;NIEUSUWALNE;FM BI£Y LGP
LGP;OUTSIDE;NIEUSUWALNE;WHITE SPOT
LGP;OUTSIDE;NIEUSUWALNE;PLAMA UP
LGP;OUTSIDE;NIEUSUWALNE;PLAMA DOWN
LGP;OUTSIDE;NIEUSUWALNE;RYSA UP
LGP;OUTSIDE;NIEUSUWALNE;RYSA DOWN
LGP;OUTSIDE;NIEUSUWALNE;INNE
LGP;OUTSIDE;NIEUSUWALNE;USZKODZONA KRAWEDè LGP
